Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
5,0,0,0,0
10,0,0,0,0
15,6,0,0,1
20,7,0,0,1
25,7,0,0,0
30,8,0,0,0
35,8,0,0,0
40,8,0,0,0
45,9,0,0,0
50,9,0,0,1
55,9,0,0,1
60,9,0,0,1
65,11,0,0,1
70,11,0,0,1
75,13,0,0,1
80,12,0,0,1
85,11,0,0,0
90,12,0,0,0
95,10,0,0,0
100,12,0,0,0
105,12,0,0,0
110,11,0,0,0
115,11,0,0,1
120,11,0,0,0
125,11,0,0,0
130,10,0,0,1
135,10,0,0,1
140,9,0,0,1
145,9,0,0,1
150,7,0,0,1
155,8,0,0,1
160,8,0,0,1
165,10,0,0,1
170,12,0,0,1
175,14,0,0,0
180,15,0,0,0
185,15,0,0,0
190,16,0,0,1
195,16,0,0,1
200,15,0,0,1
205,15,0,0,0
210,15,0,0,0
215,12,0,0,1
220,13,0,0,1
225,13,0,0,1
230,13,0,0,1
235,14,0,0,1
240,14,0,0,1
245,14,0,0,1
250,14,0,0,0
255,14,0,0,1
260,14,0,0,0
265,13,0,0,0
270,14,0,0,0
275,14,0,0,1
280,14,0,0,1
285,14,0,0,1
290,13,0,0,1
295,13,0,0,1
300,9,0,0,1
305,6,0,0,1
310,5,0,0,0
315,5,0,0,0
320,5,0,0,0
325,3,0,0,0
330,2,0,0,0
335,2,0,0,0
340,2,0,0,0
345,2,0,0,0
350,2,0,0,0
355,2,0,0,0
360,2,0,0,0
365,3,0,0,0
370,3,0,0,0
375,3,0,0,0
380,2,0,0,0
385,2,0,0,0
390,2,0,0,0
395,2,0,0,0
400,2,0,0,0
405,2,0,0,0
410,2,0,0,0
415,2,0,0,0
420,2,0,0,0
425,2,0,0,0
430,2,0,0,0
435,2,0,0,0
440,2,0,0,0
445,2,0,0,0
450,2,0,0,0
455,2,0,0,0
460,1,0,0,0
465,1,0,0,0
470,2,0,0,0
475,2,0,0,0
480,3,0,0,0
485,4,0,0,0
490,4,0,0,0
495,6,0,0,0
500,9,0,0,1
505,9,0,0,1
510,10,0,0,0
515,11,0,0,0
520,11,0,0,0
525,12,0,0,0
530,12,0,0,0
535,12,0,0,1
540,12,0,0,1
545,16,0,0,1
550,18,0,0,0
555,18,0,0,1
560,15,0,0,1
565,16,0,0,1
570,16,0,0,0
575,15,0,0,0
580,10,0,0,0
585,10,0,0,0
590,9,0,0,0
595,10,0,0,0
600,12,0,0,0
605,14,0,0,0
610,15,0,0,1
615,18,0,0,1
620,16,0,0,0
625,16,0,0,1
630,15,0,0,1
635,15,0,0,1
640,17,0,0,1
645,19,0,0,1
650,18,0,0,1
655,17,0,0,1
660,18,0,0,1
665,19,0,0,1
670,19,0,0,1
675,22,0,0,1
680,20,0,0,1
685,17,0,0,1
690,16,0,0,1
695,16,0,0,0
700,14,0,0,0
705,12,0,0,0
